fare_id,price,currency_type,payment_method,transfers
74-91,14.75,CAD,1,
90-74,8.80,CAD,1,
74-90,8.80,CAD,1,
89-74,8.65,CAD,1,
74-89,8.65,CAD,1,
88-74,11.65,CAD,1,
74-88,11.65,CAD,1,
87-74,10.95,CAD,1,
74-87,10.95,CAD,1,
86-74,9.50,CAD,1,
74-86,9.50,CAD,1,
85-74,22.25,CAD,1,
74-85,22.25,CAD,1,
84-74,24.45,CAD,1,
74-84,24.45,CAD,1,
83-74,22.50,CAD,1,
74-83,22.50,CAD,1,
82-74,20.25,CAD,1,
74-82,20.25,CAD,1,
81-74,19.55,CAD,1,
74-81,19.55,CAD,1,
80-74,18.30,CAD,1,
74-80,18.30,CAD,1,
77-74,8.30,CAD,1,
74-77,8.30,CAD,1,
76-74,6.85,CAD,1,
74-76,6.85,CAD,1,
75-74,5.60,CAD,1,
74-75,5.60,CAD,1,
74-74,5.30,CAD,1,
1084-73,26.60,CAD,1,
73-1084,26.60,CAD,1,
1083-73,24.65,CAD,1,
73-1083,24.65,CAD,1,
97-73,17.75,CAD,1,
73-97,17.75,CAD,1,
96-73,17.00,CAD,1,
73-96,17.00,CAD,1,
95-73,16.50,CAD,1,
73-95,16.50,CAD,1,
94-73,15.95,CAD,1,
73-94,15.95,CAD,1,
93-73,15.25,CAD,1,
73-93,15.25,CAD,1,
92-73,14.50,CAD,1,
73-92,14.50,CAD,1,
91-73,13.85,CAD,1,
73-91,13.85,CAD,1,
90-73,7.95,CAD,1,
73-90,7.95,CAD,1,
89-73,7.35,CAD,1,
73-89,7.35,CAD,1,
88-73,10.75,CAD,1,
73-88,10.75,CAD,1,
87-73,10.10,CAD,1,
73-87,10.10,CAD,1,
86-73,8.50,CAD,1,
73-86,8.50,CAD,1,
85-73,21.35,CAD,1,
73-85,21.35,CAD,1,
84-73,23.60,CAD,1,
73-84,23.60,CAD,1,
83-73,21.65,CAD,1,
73-83,21.65,CAD,1,
82-73,19.35,CAD,1,
73-82,19.35,CAD,1,
81-73,18.70,CAD,1,
73-81,18.70,CAD,1,
80-73,17.40,CAD,1,
73-80,17.40,CAD,1,
77-73,6.95,CAD,1,
73-77,6.95,CAD,1,
76-73,7.45,CAD,1,
73-76,7.45,CAD,1,
75-73,6.75,CAD,1,
73-75,6.75,CAD,1,
74-73,5.30,CAD,1,
73-74,5.30,CAD,1,
73-73,5.30,CAD,1,
1084-72,26.00,CAD,1,
72-1084,26.00,CAD,1,
1083-72,24.05,CAD,1,
72-1083,24.05,CAD,1,
97-72,17.25,CAD,1,
72-97,17.25,CAD,1,
96-72,16.50,CAD,1,
72-96,16.50,CAD,1,
95-72,15.95,CAD,1,
72-95,15.95,CAD,1,
94-72,15.45,CAD,1,
72-94,15.45,CAD,1,
93-72,14.75,CAD,1,
72-93,14.75,CAD,1,
92-72,14.00,CAD,1,
72-92,14.00,CAD,1,
91-72,13.35,CAD,1,
72-91,13.35,CAD,1,
90-72,6.95,CAD,1,
72-90,6.95,CAD,1,
89-72,6.75,CAD,1,
72-89,6.75,CAD,1,
88-72,10.25,CAD,1,
72-88,10.25,CAD,1,
87-72,9.20,CAD,1,
72-87,9.20,CAD,1,
86-72,7.95,CAD,1,
72-86,7.95,CAD,1,
85-72,20.85,CAD,1,
72-85,20.85,CAD,1,
84-72,23.00,CAD,1,
72-84,23.00,CAD,1,
83-72,21.05,CAD,1,
72-83,21.05,CAD,1,
82-72,18.85,CAD,1,
72-82,18.85,CAD,1,
81-72,18.15,CAD,1,
72-81,18.15,CAD,1,
80-72,16.90,CAD,1,
72-80,16.90,CAD,1,
77-72,6.45,CAD,1,
72-77,6.45,CAD,1,
76-72,8.00,CAD,1,
72-76,8.00,CAD,1,
75-72,6.85,CAD,1,
72-75,6.85,CAD,1,
74-72,6.60,CAD,1,
72-74,6.60,CAD,1,
73-72,5.30,CAD,1,
72-73,5.30,CAD,1,
72-72,5.30,CAD,1,
1084-71,25.90,CAD,1,
71-1084,25.90,CAD,1,
1083-71,23.95,CAD,1,
71-1083,23.95,CAD,1,
97-71,12.05,CAD,1,
71-97,12.05,CAD,1,
96-71,10.95,CAD,1,
71-96,10.95,CAD,1,
95-71,10.45,CAD,1,
71-95,10.45,CAD,1,
94-71,9.55,CAD,1,
71-94,9.55,CAD,1,
93-71,9.30,CAD,1,
71-93,9.30,CAD,1,
92-71,8.55,CAD,1,
71-92,8.55,CAD,1,
91-71,7.45,CAD,1,
71-91,7.45,CAD,1,
90-71,6.60,CAD,1,
71-90,6.60,CAD,1,
89-71,6.40,CAD,1,
71-89,6.40,CAD,1,
88-71,9.55,CAD,1,
71-88,9.55,CAD,1,
87-71,8.45,CAD,1,
71-87,8.45,CAD,1,
86-71,7.25,CAD,1,
71-86,7.25,CAD,1,
85-71,20.20,CAD,1,
71-85,20.20,CAD,1,
84-71,22.90,CAD,1,
71-84,22.90,CAD,1,
83-71,20.95,CAD,1,
71-83,20.95,CAD,1,
82-71,18.70,CAD,1,
71-82,18.70,CAD,1,
81-71,18.05,CAD,1,
71-81,18.05,CAD,1,
80-71,16.20,CAD,1,
71-80,16.20,CAD,1,
77-71,6.30,CAD,1,
71-77,6.30,CAD,1,
76-71,8.20,CAD,1,
71-76,8.20,CAD,1,
75-71,7.10,CAD,1,
71-75,7.10,CAD,1,
74-71,6.65,CAD,1,
71-74,6.65,CAD,1,
73-71,5.30,CAD,1,
71-73,5.30,CAD,1,
72-71,5.30,CAD,1,
71-72,5.30,CAD,1,
71-71,5.30,CAD,1,
1084-70,25.65,CAD,1,
70-1084,25.65,CAD,1,
1083-70,23.70,CAD,1,
70-1083,23.70,CAD,1,
97-70,16.90,CAD,1,
70-97,16.90,CAD,1,
96-70,16.10,CAD,1,
70-96,16.10,CAD,1,
95-70,15.60,CAD,1,
70-95,15.60,CAD,1,
94-70,15.10,CAD,1,
70-94,15.10,CAD,1,
93-70,14.35,CAD,1,
70-93,14.35,CAD,1,
92-70,13.65,CAD,1,
70-92,13.65,CAD,1,
91-70,13.00,CAD,1,
70-91,13.00,CAD,1,
90-70,7.10,CAD,1,
70-90,7.10,CAD,1,
89-70,6.90,CAD,1,
70-89,6.90,CAD,1,
88-70,10.40,CAD,1,
70-88,10.40,CAD,1,
87-70,8.95,CAD,1,
70-87,8.95,CAD,1,
86-70,8.15,CAD,1,
70-86,8.15,CAD,1,
85-70,20.50,CAD,1,
70-85,20.50,CAD,1,
84-70,22.65,CAD,1,
70-84,22.65,CAD,1,
83-70,20.70,CAD,1,
70-83,20.70,CAD,1,
82-70,18.50,CAD,1,
70-82,18.50,CAD,1,
81-70,17.75,CAD,1,
70-81,17.75,CAD,1,
80-70,16.55,CAD,1,
70-80,16.55,CAD,1,
77-70,5.60,CAD,1,
70-77,5.60,CAD,1,
76-70,8.50,CAD,1,
70-76,8.50,CAD,1,
75-70,7.45,CAD,1,
